station,haul,pot,reason,skate_id
Day 1,98,8,Lost pot,Day 1_98_8
Day 1,98,12,Lost pot,Day 1_98_12
Day 1,98,18,Lost pot,Day 1_98_18
Day 1,98,61,Lost pot,Day 1_98_61
Day 1,98,71,Lost pot,Day 1_98_71
Day 1,98,86,Lost pot,Day 1_98_86
Day 1,98,88,Lost pot,Day 1_98_88
Day 1,98,89,Lost pot,Day 1_98_89
Day 1,98,101,Lost pot,Day 1_98_101
Day 1,98,117,Bait bag lost or damaged,Day 1_98_117
Day 2,100,17,Trap door open,Day 2_100_17
Day 2,100,86,Lost pot,Day 2_100_86
Day 2,100,106,Lost pot,Day 2_100_106
Day 3,102,4,Lost pot,Day 3_102_4
Day 3,102,103,Lost pot,Day 3_102_103
Day 3,102,108,Bait bag lost or damaged,Day 3_102_108
Day 3,102,110,Bait bag lost or damaged,Day 3_102_110
