Station,Species,Hooks (# lengths / # catch),Slinky pots (# lengths / # catch)
Day 1,Sablefish,"1,337 / 1,536","1,003 / 1,008"
Day 1,Shortspine Thornyhead,66 / 75,1 / 1
Day 1,Giant Grenadier,47 / 56,6 / 6
Day 1,Spiny Dogfish,2 / 2,0 / 0
Day 1,Angulatus Tanner Crab,0 / 2,0 / 2
Day 1,Basketstarfish Unidentified,0 / 3,0 / 0
Day 1,Blackfooted Albatross,0 / 1,0 / 0
Day 1,Jellyfish Unidentified,0 / 1,0 / 0
Day 1,Lips or Jaws - Whale Depredation,0 / 1,0 / 0
Day 1,Pacific Pomfret,0 / 1,0 / 0
Day 1,Sea Whip,0 / 5,0 / 0
Day 1,Bait bag lost or damaged,0 / 0,0 / 0
Day 1,Snail Unidentified,0 / 0,0 / 14
Day 1,Snarled pot,0 / 0,0 / 0
Day 2,Sablefish,"1,288 / 1,386","1,166 / 1,168"
Day 2,Shortspine Thornyhead,83 / 88,2 / 2
Day 2,Giant Grenadier,43 / 57,8 / 8
Day 2,Spiny Dogfish,2 / 2,0 / 0
Day 2,Arrowtooth Flounder,0 / 0,2 / 2
Day 2,Basketstarfish Unidentified,0 / 4,0 / 0
Day 2,Blackfooted Albatross,0 / 1,0 / 0
Day 2,Brittle Starfish,0 / 1,0 / 0
Day 2,Crinoid Unidentified,0 / 1,0 / 0
Day 2,Lips or Jaws - Whale Depredation,0 / 1,0 / 0
Day 2,Sea Whip,0 / 15,0 / 0
Day 2,Bait bag lost or damaged,0 / 0,0 / 0
Day 2,Sea Anemone Unidentified,0 / 0,0 / 1
Day 2,Snail Unidentified,0 / 0,0 / 9
Day 3,Sablefish,"1,451 / 1,493","1,040 / 1,040"
Day 3,Giant Grenadier,76 / 101,9 / 9
Day 3,Shortspine Thornyhead,48 / 53,0 / 0
Day 3,Spiny Dogfish,10 / 11,0 / 0
Day 3,Shortraker Rockfish,5 / 5,0 / 0
Day 3,Rougheye Rockfish,2 / 2,0 / 0
Day 3,Arrowtooth Flounder,1 / 1,0 / 0
Day 3,Aleutian/Bering/Alaska Skate Complex,0 / 1,0 / 0
Day 3,Basketstarfish Unidentified,0 / 4,0 / 0
Day 3,Blackfooted Albatross,0 / 1,0 / 0
Day 3,Brittle Starfish,0 / 1,0 / 0
Day 3,Coho Salmon,0 / 1,0 / 0
Day 3,Crinoid Unidentified,0 / 4,0 / 0
Day 3,Jellyfish Unidentified,0 / 1,0 / 0
Day 3,Longnose Skate,0 / 4,0 / 0
Day 3,Pacific Pomfret,0 / 3,0 / 0
Day 3,Sea Anemone Unidentified,0 / 1,0 / 0
Day 3,Sea Cucumber,0 / 1,0 / 0
Day 3,Sea Whip,0 / 4,0 / 0
Day 3,Starfish Unidentified,0 / 1,0 / 0
Day 3,Angulatus Tanner Crab,0 / 0,0 / 2
Day 3,Bait bag lost or damaged,0 / 0,0 / 0
Day 3,Lost pot,0 / 0,0 / 0
